Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
28th December 2002,12,14,15,27,28,39,34
25th December 2002,1,17,19,22,36,44,21
21st December 2002,26,29,35,45,48,49,27
18th December 2002,10,11,26,34,40,44,5
14th December 2002,7,19,21,30,36,44,39
11th December 2002,5,8,13,37,40,43,26
7th December 2002,1,14,26,30,33,38,21
4th December 2002,1,3,4,11,34,40,47
30th November 2002,1,2,12,30,37,43,47
27th November 2002,7,9,11,26,35,48,28
23rd November 2002,7,10,15,19,24,29,25
20th November 2002,21,29,32,38,40,42,47
16th November 2002,20,24,26,27,33,41,8
13th November 2002,6,7,16,25,40,48,17
9th November 2002,12,13,30,31,44,49,45
6th November 2002,2,8,19,31,43,48,46
2nd November 2002,4,8,11,21,27,48,3
30th October 2002,5,6,13,22,29,46,8
26th October 2002,5,6,14,29,33,47,43
23rd October 2002,7,11,24,29,32,36,42
19th October 2002,10,14,20,28,32,40,33
16th October 2002,2,14,23,36,46,47,25
12th October 2002,6,18,23,24,28,46,38
9th October 2002,12,21,23,26,34,47,3
5th October 2002,12,13,16,20,24,26,1
2nd October 2002,1,14,16,18,38,49,13
28th September 2002,5,16,17,31,38,45,1
25th September 2002,2,24,33,34,36,37,48
21st September 2002,3,19,29,34,35,36,11
18th September 2002,4,14,39,42,46,48,26
14th September 2002,6,16,23,31,34,39,24
11th September 2002,2,8,12,15,28,49,21
7th September 2002,3,4,8,12,24,28,31
4th September 2002,2,8,10,14,31,39,30
31st August 2002,6,7,10,11,14,47,28
28th August 2002,2,11,20,29,30,48,38
24th August 2002,2,7,21,43,44,46,29
21st August 2002,4,7,13,25,37,45,33
17th August 2002,14,20,22,41,43,49,16
14th August 2002,11,28,33,37,40,46,16
10th August 2002,13,16,18,27,43,45,25
7th August 2002,2,16,21,22,28,47,18
3rd August 2002,4,14,24,27,30,40,38
31st July 2002,9,11,27,33,40,42,25
27th July 2002,1,5,13,22,28,43,9
24th July 2002,2,4,8,15,22,49,31
20th July 2002,9,26,28,30,37,41,11
17th July 2002,3,10,16,36,39,46,42
13th July 2002,19,27,29,30,40,45,4
10th July 2002,1,5,7,10,26,49,19
6th July 2002,10,21,23,28,31,39,7
3rd July 2002,25,27,28,36,37,40,17
29th June 2002,8,22,41,43,48,49,46
26th June 2002,2,10,20,25,44,48,27
22nd June 2002,12,15,18,23,24,46,9
19th June 2002,5,10,34,35,36,45,18
15th June 2002,20,29,38,39,42,46,23
12th June 2002,3,4,15,18,34,47,45
8th June 2002,2,12,19,38,43,48,13
5th June 2002,1,2,9,15,20,38,13
1st June 2002,7,8,12,37,46,48,41
29th May 2002,2,6,8,15,24,44,21
25th May 2002,12,28,31,34,36,42,30
22nd May 2002,4,8,9,26,34,43,48
18th May 2002,13,15,24,34,42,47,23
15th May 2002,1,4,14,20,41,44,9
11th May 2002,9,33,36,40,46,47,35
8th May 2002,1,10,30,37,44,49,39
4th May 2002,15,23,38,39,44,49,18
1st May 2002,1,6,25,31,33,43,49
27th April 2002,3,8,12,36,40,47,21
24th April 2002,7,22,35,36,41,49,40
20th April 2002,18,20,27,32,34,36,3
17th April 2002,19,35,36,39,44,48,11
13th April 2002,15,27,35,38,44,46,23
10th April 2002,3,5,24,26,33,46,11
6th April 2002,1,11,14,18,20,38,37
3rd April 2002,3,8,29,40,43,44,17
30th March 2002,1,18,26,34,42,48,7
27th March 2002,17,26,30,34,43,48,46
23rd March 2002,2,4,9,31,36,40,3
20th March 2002,3,11,12,17,29,41,23
16th March 2002,2,17,24,26,35,47,41
13th March 2002,12,14,20,23,43,47,3
9th March 2002,4,6,16,38,44,45,9
6th March 2002,7,18,20,26,28,31,13
2nd March 2002,3,11,13,28,40,47,16
27th February 2002,4,7,16,36,39,40,13
23rd February 2002,7,28,38,39,44,48,6
20th February 2002,4,15,21,29,30,35,8
16th February 2002,16,29,34,40,46,48,3
13th February 2002,1,2,6,24,40,47,7
9th February 2002,7,14,20,30,35,36,10
6th February 2002,1,5,14,15,20,43,32
2nd February 2002,11,17,22,26,43,48,27
30th January 2002,2,4,6,11,37,47,22
26th January 2002,3,27,31,34,35,40,22
23rd January 2002,1,7,8,33,40,44,28
19th January 2002,7,9,22,35,40,47,36
16th January 2002,13,17,18,28,37,44,32
12th January 2002,1,7,13,30,34,36,38
9th January 2002,8,12,15,23,28,39,43
5th January 2002,4,19,20,35,41,46,27
2nd January 2002,8,9,15,22,26,39,30
