Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
28th December 2013,13,20,23,34,38,46,18
25th December 2013,4,18,23,32,34,47,44
21st December 2013,1,2,10,19,22,44,41
18th December 2013,2,4,16,20,25,46,23
14th December 2013,13,18,19,20,35,40,14
11th December 2013,4,15,28,31,37,44,35
7th December 2013,2,8,11,15,24,27,44
4th December 2013,10,12,16,23,41,42,19
30th November 2013,2,18,22,25,37,39,1
27th November 2013,8,9,15,23,40,48,19
23rd November 2013,3,5,13,16,44,48,2
20th November 2013,20,26,35,37,46,48,9
16th November 2013,9,12,17,20,21,37,31
13th November 2013,3,8,15,17,29,33,10
9th November 2013,4,8,30,43,46,48,44
6th November 2013,21,26,32,34,36,39,28
2nd November 2013,9,12,13,26,35,43,2
30th October 2013,4,9,24,41,47,48,46
26th October 2013,3,5,16,20,27,45,7
23rd October 2013,6,12,14,20,21,26,33
19th October 2013,3,4,6,23,33,44,31
16th October 2013,3,10,17,18,19,23,38
12th October 2013,7,12,20,22,26,35,13
9th October 2013,18,22,24,30,43,48,42
5th October 2013,2,12,18,26,35,36,7
2nd October 2013,2,10,16,36,40,45,11
28th September 2013,8,16,18,26,28,37,5
25th September 2013,5,19,22,29,31,32,7
21st September 2013,7,19,21,29,31,36,42
18th September 2013,13,22,23,31,35,45,33
14th September 2013,6,26,41,42,47,48,31
11th September 2013,13,21,22,26,35,40,15
7th September 2013,2,4,15,29,32,40,26
4th September 2013,2,7,12,21,25,47,6
31st August 2013,5,6,24,29,35,39,44
28th August 2013,13,17,19,22,28,46,38
24th August 2013,2,8,32,36,47,49,33
21st August 2013,4,12,28,31,39,46,42
17th August 2013,1,6,13,29,37,39,17
14th August 2013,14,20,28,31,44,49,34
10th August 2013,8,23,25,32,33,48,28
7th August 2013,19,21,29,32,34,47,8
3rd August 2013,2,3,9,17,29,40,41
31st July 2013,5,15,30,42,46,49,35
27th July 2013,3,15,17,20,27,43,30
24th July 2013,2,5,12,22,44,48,10
20th July 2013,3,20,24,26,37,47,35
17th July 2013,11,12,16,29,38,43,25
13th July 2013,2,11,14,22,41,42,13
10th July 2013,7,8,11,19,25,46,17
6th July 2013,21,23,24,33,38,44,45
3rd July 2013,16,17,19,22,40,43,10
29th June 2013,4,11,12,14,25,37,36
26th June 2013,1,3,23,33,40,48,42
22nd June 2013,3,4,5,12,23,33,27
19th June 2013,8,23,25,28,34,39,47
15th June 2013,5,8,13,14,17,30,1
12th June 2013,4,8,16,25,33,36,21
8th June 2013,8,11,19,42,46,47,27
5th June 2013,5,15,19,31,42,47,20
1st June 2013,2,7,24,37,38,40,9
29th May 2013,21,28,34,35,48,49,18
25th May 2013,9,17,32,41,42,44,3
22nd May 2013,1,20,24,33,37,43,42
18th May 2013,5,24,26,28,33,45,31
15th May 2013,11,14,21,24,25,43,12
11th May 2013,2,10,16,21,24,49,30
8th May 2013,12,21,23,24,38,46,36
4th May 2013,8,9,13,22,35,36,6
1st May 2013,1,2,32,33,38,49,42
27th April 2013,9,28,35,36,48,49,6
24th April 2013,10,20,30,38,41,44,15
20th April 2013,1,10,11,19,21,41,27
17th April 2013,18,25,26,41,45,49,23
13th April 2013,2,10,17,19,44,47,40
10th April 2013,1,9,12,29,30,42,22
6th April 2013,11,19,27,28,30,39,21
3rd April 2013,20,26,27,32,36,46,49
30th March 2013,26,30,34,35,38,41,48
27th March 2013,2,8,11,26,27,33,17
23rd March 2013,1,2,7,10,33,38,13
20th March 2013,9,14,24,43,45,46,22
16th March 2013,4,14,16,25,45,47,27
13th March 2013,1,4,11,16,26,46,31
9th March 2013,15,18,24,28,29,49,2
6th March 2013,1,5,14,27,30,41,3
2nd March 2013,6,29,31,33,40,43,48
27th February 2013,11,15,19,25,34,39,22
23rd February 2013,4,12,19,21,26,41,40
20th February 2013,23,31,41,45,46,49,3
16th February 2013,3,5,13,33,34,44,8
13th February 2013,17,18,21,25,35,47,16
9th February 2013,7,17,30,33,42,49,40
2nd February 2013,4,15,22,27,29,31,47
30th January 2013,1,14,21,23,29,46,26
26th January 2013,23,27,35,40,43,44,13
23rd January 2013,2,5,16,25,30,40,19
19th January 2013,1,4,6,13,20,44,28
16th January 2013,14,21,27,34,37,38,10
12th January 2013,6,16,29,30,33,36,15
9th January 2013,14,17,33,34,43,44,5
5th January 2013,24,29,34,36,41,42,45
2nd January 2013,10,14,15,39,43,49,9
