Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
31st December 1994,10,12,30,32,34,38,39
28th December 1994,10,21,22,27,28,43,17
24th December 1994,1,10,18,19,27,42,44
21st December 1994,16,17,26,30,40,43,22
17th December 1994,11,23,30,39,40,41,16
14th December 1994,8,12,30,33,34,44,31
10th December 1994,9,15,27,33,36,39,35
7th December 1994,7,15,31,36,38,39,48
3rd December 1994,2,14,31,36,44,49,25
30th November 1994,12,32,41,42,46,49,39
26th November 1994,9,13,14,31,45,46,33
23rd November 1994,5,7,9,10,13,49,28
19th November 1994,6,14,23,27,38,40,21
16th November 1994,23,29,33,34,38,42,43
12th November 1994,21,28,35,40,45,47,19
9th November 1994,6,19,20,31,43,48,33
5th November 1994,6,7,16,22,37,38,11
2nd November 1994,19,25,26,41,44,45,20
29th October 1994,11,13,18,33,39,41,31
26th October 1994,18,19,20,23,30,42,28
22nd October 1994,6,9,14,29,38,46,5
19th October 1994,4,9,18,22,34,42,2
15th October 1994,10,11,32,36,45,46,43
12th October 1994,6,7,9,17,19,44,47
8th October 1994,9,19,31,32,38,40,8
5th October 1994,10,15,17,20,22,37,25
1st October 1994,7,12,13,19,20,27,2
28th September 1994,1,19,24,26,31,32,10
24th September 1994,8,11,14,18,25,43,37
21st September 1994,23,24,25,29,34,48,20
17th September 1994,4,20,31,35,43,46,36
14th September 1994,15,20,36,37,48,49,21
10th September 1994,3,7,8,21,27,37,40
7th September 1994,2,3,13,27,30,49,7
3rd September 1994,1,2,34,35,45,47,49
31st August 1994,1,14,19,34,42,49,32
27th August 1994,1,7,14,18,26,33,10
24th August 1994,7,9,19,25,42,44,11
20th August 1994,14,18,26,31,34,40,5
17th August 1994,18,21,23,24,28,41,19
13th August 1994,8,9,16,18,22,37,33
10th August 1994,1,12,14,34,39,48,3
6th August 1994,3,8,11,12,21,48,43
3rd August 1994,13,16,18,27,28,41,32
30th July 1994,10,21,22,35,42,45,26
27th July 1994,3,8,12,26,29,42,13
23rd July 1994,4,11,16,26,28,38,47
20th July 1994,10,17,19,31,35,48,13
16th July 1994,21,27,28,32,38,42,22
13th July 1994,6,8,12,44,46,47,36
9th July 1994,17,30,33,42,45,48,43
6th July 1994,30,34,37,38,40,49,16
2nd July 1994,12,24,28,34,35,42,14
29th June 1994,10,13,14,34,39,48,23
25th June 1994,9,14,21,26,27,35,38
22nd June 1994,8,10,31,34,40,41,49
18th June 1994,2,3,31,36,46,48,7
15th June 1994,2,20,22,23,24,31,38
11th June 1994,10,13,31,32,39,46,18
8th June 1994,18,21,24,31,35,39,14
4th June 1994,13,17,33,39,42,46,29
1st June 1994,12,13,16,29,44,45,40
28th May 1994,11,16,35,37,46,49,34
25th May 1994,5,22,27,35,38,47,37
21st May 1994,4,10,25,33,36,46,30
18th May 1994,1,4,8,30,31,33,21
14th May 1994,8,22,29,42,46,48,39
11th May 1994,2,3,17,38,40,42,1
7th May 1994,2,5,7,9,21,24,22
4th May 1994,9,11,22,27,37,42,43
30th April 1994,4,11,17,28,30,32,23
27th April 1994,11,24,40,42,44,45,49
23rd April 1994,8,12,18,24,30,44,22
20th April 1994,10,20,26,35,42,43,48
16th April 1994,9,10,18,21,25,47,45
13th April 1994,9,16,22,27,38,48,35
9th April 1994,4,9,30,31,45,49,32
6th April 1994,5,17,20,27,28,31,47
2nd April 1994,8,31,33,34,45,46,37
30th March 1994,13,15,23,28,46,49,21
26th March 1994,11,13,20,29,34,49,30
23rd March 1994,5,8,32,33,47,49,46
19th March 1994,12,13,15,37,38,42,23
16th March 1994,22,24,37,38,46,49,35
12th March 1994,1,15,24,36,37,43,13
9th March 1994,10,13,14,34,36,42,40
5th March 1994,2,10,25,38,41,42,7
2nd March 1994,5,10,14,35,43,47,26
26th February 1994,1,11,26,28,30,31,10
23rd February 1994,5,7,11,31,35,46,30
19th February 1994,10,14,21,36,37,38,47
16th February 1994,7,22,25,39,45,48,37
12th February 1994,2,12,27,36,39,41,1
9th February 1994,17,19,20,21,35,41,42
5th February 1994,1,2,13,17,31,41,22
2nd February 1994,9,10,30,31,37,44,4
29th January 1994,5,8,37,42,47,48,49
26th January 1994,13,14,27,31,38,40,12
22nd January 1994,4,13,30,37,41,46,6
19th January 1994,4,14,17,20,21,33,1
15th January 1994,11,15,27,30,46,49,19
12th January 1994,10,24,26,30,40,47,6
8th January 1994,1,4,22,23,34,35,37
5th January 1994,2,12,19,21,24,43,26
1st January 1994,5,11,25,29,38,39,23
