Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
29th December 1993,2,6,15,29,31,37,47
25th December 1993,1,7,13,24,40,46,45
22nd December 1993,4,9,17,26,32,37,22
18th December 1993,5,22,25,27,30,44,14
15th December 1993,11,25,28,29,33,43,20
11th December 1993,9,15,32,37,42,46,41
8th December 1993,7,9,19,28,34,45,12
4th December 1993,25,29,30,32,33,42,31
1st December 1993,1,4,15,27,32,45,38
27th November 1993,11,14,16,19,44,46,2
24th November 1993,1,19,22,23,24,34,47
20th November 1993,12,15,25,34,37,49,42
17th November 1993,8,28,30,33,37,46,24
13th November 1993,5,6,12,13,34,45,22
10th November 1993,6,27,33,41,47,48,7
6th November 1993,7,8,13,16,17,36,41
3rd November 1993,13,15,23,26,32,33,28
30th October 1993,5,13,22,23,28,38,7
27th October 1993,2,7,8,15,21,40,25
23rd October 1993,3,22,31,32,33,39,5
20th October 1993,11,17,22,30,40,41,37
16th October 1993,4,7,20,32,45,48,23
13th October 1993,4,23,24,34,41,48,47
9th October 1993,2,8,10,12,23,44,40
6th October 1993,23,26,29,41,42,46,18
2nd October 1993,7,18,25,34,39,47,16
29th September 1993,11,19,20,36,38,47,35
25th September 1993,10,26,27,35,41,46,11
22nd September 1993,11,12,27,29,31,38,18
18th September 1993,4,5,21,24,36,38,8
15th September 1993,4,9,12,27,28,48,15
11th September 1993,3,7,12,16,30,31,44
8th September 1993,4,21,23,29,33,40,41
4th September 1993,1,21,23,25,29,44,45
1st September 1993,2,18,31,33,43,47,13
28th August 1993,12,19,21,28,30,39,46
25th August 1993,16,19,20,25,35,42,30
21st August 1993,17,18,20,39,40,41,42
18th August 1993,20,22,37,42,43,46,24
14th August 1993,9,16,26,30,32,36,29
11th August 1993,2,6,15,26,36,40,28
7th August 1993,4,9,17,31,33,38,34
4th August 1993,5,18,19,26,30,40,46
31st July 1993,4,14,20,21,29,36,3
28th July 1993,2,4,8,9,22,34,48
24th July 1993,15,23,27,31,41,42,45
21st July 1993,1,6,16,38,41,48,27
17th July 1993,2,4,14,32,39,43,6
14th July 1993,16,24,25,27,29,40,19
10th July 1993,13,30,37,39,42,44,1
7th July 1993,23,27,31,39,41,42,7
3rd July 1993,8,10,32,36,37,44,9
30th June 1993,12,18,27,29,31,43,20
26th June 1993,16,17,23,35,39,45,18
23rd June 1993,5,24,38,40,44,48,10
19th June 1993,5,17,31,34,36,38,11
16th June 1993,3,8,12,20,26,39,24
12th June 1993,1,3,13,21,32,45,37
9th June 1993,18,27,28,34,38,45,19
5th June 1993,17,23,32,33,40,47,27
2nd June 1993,1,3,19,32,37,47,23
29th May 1993,12,17,33,34,40,48,36
26th May 1993,5,6,9,39,43,47,32
22nd May 1993,10,12,22,27,31,32,29
19th May 1993,3,25,29,37,44,45,43
15th May 1993,3,6,22,31,35,43,7
12th May 1993,9,20,24,38,44,48,37
8th May 1993,1,3,8,27,39,48,11
5th May 1993,3,13,16,18,19,46,39
1st May 1993,4,18,39,40,42,43,17
28th April 1993,4,7,11,18,46,47,36
24th April 1993,8,20,30,38,41,43,16
21st April 1993,4,6,17,31,34,49,2
17th April 1993,12,21,23,31,33,45,18
14th April 1993,11,18,20,25,35,39,19
10th April 1993,32,36,43,44,45,47,10
7th April 1993,8,28,30,37,41,43,14
3rd April 1993,1,2,8,12,41,45,15
31st March 1993,6,20,24,29,32,42,17
27th March 1993,7,14,26,28,30,42,13
24th March 1993,9,15,25,27,28,41,46
20th March 1993,6,11,13,21,27,41,35
17th March 1993,5,12,15,26,36,46,23
13th March 1993,1,7,18,19,27,41,9
10th March 1993,3,6,9,39,46,47,1
6th March 1993,1,2,14,25,29,46,28
3rd March 1993,22,24,28,33,38,46,31
27th February 1993,1,8,16,18,19,38,26
24th February 1993,4,5,8,10,32,39,28
20th February 1993,12,14,32,40,43,49,38
17th February 1993,4,12,16,22,32,40,35
13th February 1993,12,16,17,20,34,39,43
10th February 1993,13,19,29,31,32,48,47
6th February 1993,19,29,33,34,39,41,26
3rd February 1993,1,24,28,34,44,47,43
30th January 1993,1,6,13,14,19,34,8
27th January 1993,7,15,31,41,46,47,17
23rd January 1993,12,21,25,34,45,48,39
20th January 1993,11,12,18,20,36,43,44
16th January 1993,16,31,38,39,41,42,30
13th January 1993,3,11,16,23,24,26,25
9th January 1993,6,14,18,21,34,35,22
6th January 1993,3,16,20,22,37,39,31
2nd January 1993,7,15,19,28,29,30,43
