Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
30th December 2000,7,9,17,27,31,48,41
27th December 2000,6,9,17,33,43,45,37
23rd December 2000,11,15,24,30,31,33,25
20th December 2000,13,41,42,45,46,49,48
16th December 2000,4,17,27,33,34,45,42
13th December 2000,14,16,18,19,34,40,45
9th December 2000,9,19,21,30,38,40,33
6th December 2000,2,14,21,25,32,47,22
2nd December 2000,3,6,20,24,36,47,34
29th November 2000,6,13,23,24,31,42,27
25th November 2000,12,23,24,31,45,46,33
22nd November 2000,4,32,36,37,40,49,42
18th November 2000,5,9,23,28,29,48,26
15th November 2000,24,25,28,36,37,42,40
11th November 2000,21,26,29,42,44,49,33
8th November 2000,12,21,33,39,47,49,46
4th November 2000,5,6,11,20,25,47,34
1st November 2000,9,13,21,23,36,47,15
28th October 2000,3,10,23,40,43,46,42
25th October 2000,7,12,16,29,37,43,49
21st October 2000,38,43,44,45,46,47,17
18th October 2000,2,9,11,23,27,45,17
14th October 2000,1,10,14,19,38,45,18
11th October 2000,5,6,21,35,38,46,15
7th October 2000,6,24,25,40,41,44,16
4th October 2000,7,14,19,40,43,49,13
30th September 2000,15,18,20,24,31,41,1
27th September 2000,1,24,29,35,40,45,34
23rd September 2000,2,20,22,31,37,49,27
20th September 2000,3,6,21,30,36,40,14
16th September 2000,15,20,36,37,46,49,45
13th September 2000,2,10,27,29,31,49,46
9th September 2000,9,11,19,22,24,42,12
6th September 2000,20,27,31,40,42,45,32
2nd September 2000,4,6,12,27,28,46,18
30th August 2000,18,19,29,40,43,49,13
26th August 2000,10,23,35,41,43,47,16
23rd August 2000,6,8,14,17,32,47,10
19th August 2000,2,11,14,22,25,34,6
16th August 2000,10,15,16,32,33,41,9
12th August 2000,3,13,14,18,29,40,48
9th August 2000,9,21,39,42,45,49,25
5th August 2000,11,33,37,40,45,46,17
2nd August 2000,2,3,12,27,31,47,11
29th July 2000,5,12,19,35,37,43,2
26th July 2000,2,3,25,37,39,40,46
22nd July 2000,1,12,18,23,42,47,26
19th July 2000,15,17,32,42,43,45,9
15th July 2000,4,20,28,34,42,49,25
12th July 2000,16,21,31,35,42,44,25
8th July 2000,5,10,12,38,40,41,11
5th July 2000,11,15,19,27,40,48,16
1st July 2000,10,15,17,20,31,44,4
28th June 2000,3,13,22,23,24,25,7
24th June 2000,1,17,21,27,40,44,36
21st June 2000,11,15,29,31,34,46,7
17th June 2000,5,7,9,33,41,48,43
14th June 2000,5,6,21,26,33,40,22
10th June 2000,1,4,16,22,32,37,33
7th June 2000,7,10,27,42,43,47,44
3rd June 2000,4,8,18,32,38,45,30
31st May 2000,2,5,11,25,32,34,39
27th May 2000,11,14,18,27,30,42,22
24th May 2000,22,23,24,27,30,45,33
20th May 2000,3,5,8,14,27,31,18
17th May 2000,1,13,23,36,37,48,16
13th May 2000,2,10,11,27,33,37,7
10th May 2000,13,19,23,40,45,49,15
6th May 2000,11,12,19,34,36,45,6
3rd May 2000,12,19,33,36,40,44,24
29th April 2000,1,6,19,25,33,48,27
26th April 2000,5,24,28,35,38,42,36
22nd April 2000,7,14,20,24,28,39,31
19th April 2000,12,16,32,44,47,49,42
15th April 2000,1,18,25,41,47,48,3
12th April 2000,10,29,34,42,46,47,40
8th April 2000,5,10,24,27,30,45,2
5th April 2000,5,9,12,20,25,27,39
1st April 2000,3,16,32,39,46,49,19
29th March 2000,10,11,12,19,41,48,34
25th March 2000,10,30,31,35,43,44,46
22nd March 2000,3,8,17,24,27,43,10
18th March 2000,4,16,19,26,35,43,47
15th March 2000,4,5,26,29,30,34,22
11th March 2000,3,12,26,34,37,41,38
8th March 2000,11,21,27,29,39,45,34
4th March 2000,10,14,16,19,23,36,2
1st March 2000,4,10,14,19,22,27,18
26th February 2000,3,5,10,41,43,45,8
23rd February 2000,1,5,29,32,37,43,44
19th February 2000,7,9,13,25,27,47,14
16th February 2000,11,18,25,28,34,44,14
12th February 2000,7,22,25,35,40,42,11
9th February 2000,3,11,16,24,36,49,45
5th February 2000,4,20,24,44,46,47,14
2nd February 2000,8,20,34,36,41,43,31
29th January 2000,6,7,22,33,36,40,9
26th January 2000,12,17,25,44,45,47,43
22nd January 2000,4,14,18,36,39,44,11
19th January 2000,2,6,27,40,41,47,37
15th January 2000,1,9,15,26,47,48,13
12th January 2000,6,14,20,32,37,44,24
8th January 2000,6,16,27,30,34,35,13
5th January 2000,3,12,22,35,40,47,19
1st January 2000,2,34,36,41,43,45,4
