Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
30th December 2015,17,19,21,30,39,44,16
26th December 2015,12,16,22,29,35,40,8
23rd December 2015,5,9,17,31,38,46,10
19th December 2015,4,15,20,23,27,49,25
16th December 2015,7,20,33,36,39,48,21
12th December 2015,2,10,18,20,30,41,38
9th December 2015,4,20,26,37,45,46,6
5th December 2015,10,11,17,24,26,29,12
2nd December 2015,5,20,33,34,38,48,21
28th November 2015,4,7,13,15,27,28,30
25th November 2015,1,2,3,4,29,48,21
21st November 2015,7,16,28,29,48,49,9
18th November 2015,3,8,25,27,36,38,32
14th November 2015,5,8,23,39,41,48,26
11th November 2015,8,13,20,24,37,42,22
7th November 2015,2,3,9,17,20,21,11
4th November 2015,2,4,20,35,39,42,28
31st October 2015,3,14,20,28,40,44,48
28th October 2015,8,9,15,26,37,48,12
24th October 2015,1,13,28,34,37,45,32
21st October 2015,8,17,22,33,40,49,27
17th October 2015,4,5,6,22,29,30,20
14th October 2015,23,31,32,34,35,44,10
10th October 2015,8,12,22,27,35,41,16
7th October 2015,4,10,19,31,38,43,5
3rd October 2015,1,3,15,27,31,36,33
30th September 2015,1,6,8,13,21,26,3
26th September 2015,6,13,14,24,32,34,12
23rd September 2015,7,13,19,35,42,44,46
19th September 2015,12,15,17,21,25,32,14
16th September 2015,1,2,9,12,21,39,44
12th September 2015,9,10,26,29,38,42,33
9th September 2015,15,16,29,30,42,44,37
5th September 2015,10,21,36,37,42,48,43
2nd September 2015,14,16,23,28,46,48,10
29th August 2015,13,30,36,40,42,46,22
26th August 2015,5,7,24,45,46,49,44
22nd August 2015,14,22,31,37,43,49,15
19th August 2015,8,12,25,38,45,48,39
15th August 2015,5,11,20,26,29,36,49
12th August 2015,20,24,27,28,38,48,2
8th August 2015,21,26,30,31,32,48,18
5th August 2015,8,23,29,34,35,48,36
1st August 2015,1,4,7,9,12,37,27
29th July 2015,1,8,29,31,35,39,23
25th July 2015,16,28,41,43,47,49,21
22nd July 2015,6,9,13,26,27,46,15
18th July 2015,2,12,22,28,41,48,5
15th July 2015,11,18,38,40,43,46,26
11th July 2015,9,20,25,27,31,32,3
8th July 2015,3,8,41,43,46,47,49
4th July 2015,20,22,23,24,39,41,26
1st July 2015,21,29,32,40,43,44,19
27th June 2015,7,15,27,31,35,44,2
24th June 2015,9,13,15,18,21,46,25
20th June 2015,10,11,30,33,41,44,20
17th June 2015,6,7,17,18,20,32,4
13th June 2015,5,8,21,31,40,45,19
10th June 2015,26,37,40,43,44,45,3
6th June 2015,8,12,22,35,38,44,27
3rd June 2015,26,28,33,35,37,46,47
30th May 2015,4,9,17,27,36,49,21
27th May 2015,23,27,36,41,43,47,35
23rd May 2015,8,23,24,31,35,44,49
20th May 2015,2,4,12,17,18,47,14
16th May 2015,1,12,22,25,35,45,9
13th May 2015,3,16,24,40,41,48,20
9th May 2015,1,16,21,22,33,43,7
6th May 2015,13,16,19,24,27,30,48
2nd May 2015,2,8,17,23,40,42,25
29th April 2015,10,21,34,37,45,49,43
25th April 2015,7,13,23,25,40,41,48
22nd April 2015,4,24,27,35,38,48,44
18th April 2015,11,25,33,35,44,49,43
15th April 2015,11,13,25,34,41,45,4
11th April 2015,5,8,22,23,27,37,11
8th April 2015,2,4,14,16,18,19,25
4th April 2015,2,9,32,33,35,49,4
1st April 2015,4,7,12,16,22,24,41
28th March 2015,12,15,21,23,40,48,8
25th March 2015,6,14,16,29,38,46,5
21st March 2015,8,22,29,32,33,35,2
18th March 2015,16,17,37,39,41,45,14
14th March 2015,9,19,38,40,45,47,13
11th March 2015,7,9,21,40,44,45,42
7th March 2015,4,10,15,18,26,41,16
4th March 2015,2,10,14,19,28,33,48
28th February 2015,5,14,39,42,46,49,17
25th February 2015,15,17,25,29,30,35,14
21st February 2015,3,4,9,14,23,48,26
18th February 2015,3,6,11,15,20,37,31
14th February 2015,9,10,15,18,21,37,20
11th February 2015,1,13,24,29,43,49,8
7th February 2015,14,16,24,41,42,48,34
4th February 2015,6,8,10,22,30,43,23
31st January 2015,9,13,18,20,24,36,5
28th January 2015,3,4,5,8,33,38,14
24th January 2015,2,8,9,11,21,39,37
21st January 2015,3,15,17,35,44,46,23
17th January 2015,9,15,21,27,35,40,5
14th January 2015,15,16,17,28,33,44,36
10th January 2015,1,11,23,25,27,30,43
7th January 2015,10,16,31,36,38,47,22
3rd January 2015,12,21,28,37,40,43,38
