Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
31st December 1997,10,13,29,30,37,41,40
27th December 1997,6,12,24,29,34,45,17
24th December 1997,29,32,33,46,47,48,17
20th December 1997,7,13,18,26,27,47,2
17th December 1997,2,5,9,10,22,35,27
13th December 1997,2,16,22,23,36,45,48
10th December 1997,3,17,19,29,37,42,41
6th December 1997,5,6,18,23,28,47,9
3rd December 1997,5,20,34,38,39,47,12
29th November 1997,3,4,5,9,14,18,11
26th November 1997,7,10,12,15,23,47,5
22nd November 1997,10,15,25,31,33,35,8
19th November 1997,10,23,28,38,43,45,36
15th November 1997,11,28,29,34,38,40,48
12th November 1997,4,5,14,30,32,34,27
8th November 1997,11,15,16,25,31,44,30
5th November 1997,13,15,27,31,43,44,2
1st November 1997,3,17,18,21,23,28,39
29th October 1997,1,20,23,31,34,44,24
25th October 1997,1,11,22,28,30,43,6
22nd October 1997,5,11,14,19,27,29,17
18th October 1997,10,13,16,21,26,35,38
15th October 1997,17,23,24,39,45,49,25
11th October 1997,2,3,14,17,25,49,27
8th October 1997,2,3,11,15,34,47,25
4th October 1997,23,26,29,31,33,42,44
1st October 1997,1,3,16,29,31,46,12
27th September 1997,2,10,23,31,39,49,5
24th September 1997,10,12,34,37,39,41,4
20th September 1997,9,11,32,38,39,40,48
17th September 1997,15,23,39,40,44,46,22
13th September 1997,6,11,20,24,38,42,8
10th September 1997,7,12,20,35,36,38,21
6th September 1997,13,23,27,39,41,49,24
3rd September 1997,13,14,18,23,24,27,7
30th August 1997,16,19,22,34,37,40,45
27th August 1997,12,13,16,34,44,49,42
23rd August 1997,28,29,36,39,45,46,11
20th August 1997,6,14,25,30,31,36,4
16th August 1997,3,4,6,20,31,35,19
13th August 1997,7,15,25,32,44,48,46
9th August 1997,1,2,5,11,17,19,27
6th August 1997,1,6,8,10,14,49,12
2nd August 1997,1,7,14,16,32,41,24
30th July 1997,4,5,10,20,23,47,33
26th July 1997,14,19,22,24,35,47,12
23rd July 1997,4,12,36,44,45,47,21
19th July 1997,4,5,25,37,39,44,17
16th July 1997,6,15,16,36,39,46,38
12th July 1997,12,16,20,23,36,47,38
9th July 1997,4,31,32,35,37,48,30
5th July 1997,2,3,11,14,27,30,38
2nd July 1997,17,25,29,30,34,40,45
28th June 1997,3,10,19,27,32,33,8
25th June 1997,3,8,10,23,31,47,46
21st June 1997,17,21,25,26,33,48,3
18th June 1997,5,25,33,37,39,43,48
14th June 1997,7,16,18,25,32,33,40
11th June 1997,20,21,22,34,36,43,6
7th June 1997,1,4,10,22,27,42,5
4th June 1997,1,2,16,19,20,38,34
31st May 1997,3,8,13,30,37,47,46
28th May 1997,2,3,19,32,36,47,25
24th May 1997,13,23,26,27,30,44,1
21st May 1997,3,12,21,24,37,45,28
17th May 1997,11,21,25,27,28,37,9
14th May 1997,5,15,17,32,41,45,42
10th May 1997,3,5,6,20,29,33,9
7th May 1997,8,20,23,25,36,43,35
3rd May 1997,2,8,16,31,34,36,13
30th April 1997,2,16,20,36,45,47,32
26th April 1997,3,14,19,26,35,45,37
23rd April 1997,22,28,36,42,46,49,43
19th April 1997,4,14,18,35,36,48,27
16th April 1997,9,14,19,28,37,46,48
12th April 1997,11,15,27,39,43,44,4
9th April 1997,11,14,15,16,28,42,39
5th April 1997,2,3,15,19,44,45,34
2nd April 1997,1,3,12,14,17,46,38
29th March 1997,9,20,27,34,38,46,35
26th March 1997,4,27,32,38,40,45,20
22nd March 1997,4,15,20,27,41,45,40
19th March 1997,12,16,20,22,26,38,36
15th March 1997,5,21,29,31,45,49,41
12th March 1997,12,16,25,26,28,41,43
8th March 1997,13,31,32,40,45,48,16
5th March 1997,3,20,22,30,44,45,5
1st March 1997,11,24,28,40,46,47,39
26th February 1997,5,6,21,26,42,48,28
22nd February 1997,1,3,7,13,39,46,4
19th February 1997,9,21,25,27,40,42,14
15th February 1997,6,9,16,27,46,48,38
12th February 1997,8,13,25,30,43,45,21
8th February 1997,20,21,25,31,43,45,2
5th February 1997,4,5,7,8,16,39,3
1st February 1997,4,8,23,35,40,46,5
29th January 1997,1,8,19,27,32,39,33
25th January 1997,6,27,30,31,34,47,35
22nd January 1997,6,14,16,27,30,43,42
18th January 1997,8,10,18,31,41,48,39
15th January 1997,2,8,13,16,26,31,23
11th January 1997,4,13,17,28,44,47,23
8th January 1997,19,24,30,35,37,44,40
4th January 1997,23,28,33,38,47,49,9
1st January 1997,1,23,25,26,33,44,24
