Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
30th December 2006,10,14,18,40,45,49,1
27th December 2006,4,5,12,24,38,45,22
23rd December 2006,4,6,19,22,23,45,43
20th December 2006,2,9,12,29,33,37,46
16th December 2006,7,22,24,30,38,46,41
13th December 2006,8,11,22,27,33,36,1
9th December 2006,4,11,18,20,29,44,24
6th December 2006,2,6,12,18,22,29,4
2nd December 2006,8,32,33,43,46,49,1
29th November 2006,5,9,14,31,37,46,8
25th November 2006,1,18,20,23,41,47,37
22nd November 2006,3,8,14,28,31,39,32
18th November 2006,1,11,22,25,39,41,44
15th November 2006,5,8,34,37,44,47,24
11th November 2006,3,5,6,7,26,40,16
8th November 2006,3,4,20,38,42,48,34
4th November 2006,6,23,30,33,37,41,17
1st November 2006,2,18,24,25,30,40,45
28th October 2006,1,10,26,38,39,47,45
25th October 2006,9,33,37,38,42,49,31
21st October 2006,2,4,25,29,41,43,38
18th October 2006,6,18,25,34,45,49,41
14th October 2006,9,14,22,45,47,49,25
11th October 2006,8,12,24,30,34,35,47
7th October 2006,15,20,33,37,39,45,13
4th October 2006,12,13,22,26,37,45,14
30th September 2006,1,10,18,24,31,46,19
27th September 2006,15,23,38,40,41,49,2
23rd September 2006,6,11,19,20,32,39,38
20th September 2006,10,30,41,43,45,47,34
16th September 2006,5,13,14,29,39,40,34
13th September 2006,19,30,32,33,38,41,14
9th September 2006,13,22,31,32,34,48,26
6th September 2006,3,8,20,26,37,46,27
2nd September 2006,3,9,10,14,17,19,12
30th August 2006,1,9,15,26,29,32,46
26th August 2006,1,9,10,24,32,35,39
23rd August 2006,4,7,16,23,27,39,3
19th August 2006,9,10,19,43,47,49,29
16th August 2006,3,4,8,25,41,48,22
12th August 2006,3,10,21,23,33,44,43
9th August 2006,13,15,28,29,33,47,25
5th August 2006,2,13,19,25,30,32,40
2nd August 2006,6,26,27,33,41,42,24
29th July 2006,13,16,21,42,46,49,8
26th July 2006,3,7,15,38,43,47,32
22nd July 2006,2,6,9,20,43,44,46
19th July 2006,8,13,21,22,24,39,4
15th July 2006,13,17,21,33,41,42,38
12th July 2006,6,26,30,38,44,45,16
8th July 2006,11,14,29,33,42,44,7
5th July 2006,2,21,22,29,34,35,7
1st July 2006,11,19,36,41,46,49,38
28th June 2006,3,5,19,20,34,47,31
24th June 2006,2,20,26,29,37,45,17
21st June 2006,4,17,34,39,41,46,26
17th June 2006,11,14,20,25,31,36,48
14th June 2006,10,11,36,38,46,48,26
10th June 2006,18,23,32,34,41,46,49
7th June 2006,11,12,14,27,34,48,8
3rd June 2006,8,20,21,27,36,48,11
31st May 2006,11,14,34,40,42,43,6
27th May 2006,9,15,18,34,35,45,6
24th May 2006,1,15,18,19,29,37,5
20th May 2006,15,18,22,31,43,49,26
17th May 2006,9,19,20,24,36,48,10
13th May 2006,2,10,11,16,42,43,21
10th May 2006,3,17,36,44,45,48,8
6th May 2006,6,28,30,31,34,48,47
3rd May 2006,1,17,24,29,34,46,27
29th April 2006,4,29,35,40,43,45,9
26th April 2006,1,25,35,36,37,44,15
22nd April 2006,21,22,23,24,48,49,3
19th April 2006,3,7,16,18,29,49,32
15th April 2006,2,3,9,21,26,29,42
12th April 2006,11,14,15,29,31,47,19
8th April 2006,1,6,8,10,15,20,34
5th April 2006,10,19,20,35,36,38,26
1st April 2006,4,6,8,12,34,38,14
29th March 2006,1,14,23,35,47,49,5
25th March 2006,17,23,24,33,35,41,47
22nd March 2006,8,12,17,23,36,38,43
18th March 2006,1,6,31,37,44,45,19
15th March 2006,2,7,15,23,25,45,41
11th March 2006,12,13,19,20,21,29,38
8th March 2006,11,15,18,33,42,49,21
4th March 2006,7,28,35,40,42,48,46
1st March 2006,9,15,22,33,38,48,10
25th February 2006,7,9,13,23,26,47,28
22nd February 2006,8,26,31,35,36,47,24
18th February 2006,17,20,24,28,31,41,25
15th February 2006,12,13,15,32,40,43,47
11th February 2006,5,21,29,30,36,45,49
8th February 2006,19,29,33,40,46,48,34
4th February 2006,2,16,17,29,39,41,11
1st February 2006,2,12,14,41,42,43,20
28th January 2006,9,19,22,33,37,46,35
25th January 2006,7,14,20,21,42,45,18
21st January 2006,3,5,10,21,30,37,8
18th January 2006,3,8,9,20,22,35,4
14th January 2006,11,29,35,36,44,48,30
11th January 2006,12,35,36,43,44,45,46
7th January 2006,5,20,28,30,41,42,16
4th January 2006,6,21,33,42,43,46,25
