Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
30th December 1992,11,23,30,31,34,46,17
26th December 1992,11,13,16,17,19,20,37
23rd December 1992,7,14,32,36,39,44,43
19th December 1992,8,9,13,27,28,38,7
16th December 1992,2,11,32,33,48,49,3
12th December 1992,15,18,29,30,37,47,44
9th December 1992,1,5,10,16,44,45,23
5th December 1992,3,21,23,41,43,46,1
2nd December 1992,2,16,22,24,27,45,42
28th November 1992,10,19,20,35,38,43,48
25th November 1992,18,28,29,30,46,49,7
21st November 1992,5,6,7,12,35,39,29
18th November 1992,3,7,11,29,45,48,8
14th November 1992,2,6,7,8,30,37,47
11th November 1992,12,19,28,31,41,47,16
7th November 1992,8,9,14,38,42,49,41
4th November 1992,12,14,19,26,40,42,3
31st October 1992,22,28,29,30,36,47,16
28th October 1992,3,11,13,15,20,39,32
24th October 1992,11,22,25,33,42,49,28
21st October 1992,7,18,26,35,38,48,49
17th October 1992,2,13,15,24,33,35,39
14th October 1992,3,12,35,42,43,45,13
10th October 1992,8,12,22,39,40,44,17
7th October 1992,8,17,25,26,38,42,14
3rd October 1992,11,15,16,22,27,34,12
30th September 1992,14,35,40,43,46,47,11
26th September 1992,16,17,20,21,29,35,41
23rd September 1992,19,21,34,36,47,49,42
19th September 1992,4,12,31,41,43,49,24
16th September 1992,1,4,30,40,42,48,49
12th September 1992,1,3,14,17,38,40,20
9th September 1992,5,10,31,35,37,41,20
5th September 1992,11,14,16,17,29,41,35
2nd September 1992,1,15,32,35,38,49,14
29th August 1992,3,9,18,32,41,47,30
26th August 1992,4,13,26,35,41,46,6
22nd August 1992,6,14,23,29,44,48,13
19th August 1992,9,10,21,28,30,41,1
15th August 1992,16,21,25,26,38,47,24
12th August 1992,3,4,20,22,33,46,19
8th August 1992,15,27,30,31,34,43,12
5th August 1992,1,2,12,20,21,47,42
1st August 1992,6,7,21,28,38,39,42
29th July 1992,5,6,7,14,16,46,37
25th July 1992,3,8,12,19,42,44,33
22nd July 1992,16,20,22,31,40,43,42
18th July 1992,8,13,23,31,39,41,7
15th July 1992,5,21,30,33,36,41,18
11th July 1992,13,15,18,23,26,46,39
8th July 1992,1,2,3,4,13,48,20
4th July 1992,7,8,24,39,40,46,20
1st July 1992,13,23,29,39,46,47,3
27th June 1992,19,29,30,31,32,36,12
24th June 1992,7,18,21,26,31,37,42
20th June 1992,9,11,32,34,35,48,42
17th June 1992,9,12,17,25,30,35,4
13th June 1992,20,21,32,39,42,43,47
10th June 1992,3,19,29,31,34,42,14
6th June 1992,9,15,16,33,35,41,38
3rd June 1992,9,32,34,36,43,49,24
30th May 1992,2,12,19,21,35,49,44
27th May 1992,11,30,32,34,42,44,36
23rd May 1992,2,16,18,25,27,45,28
20th May 1992,21,23,31,34,38,44,8
16th May 1992,1,2,15,26,39,49,25
13th May 1992,19,20,25,27,31,38,10
9th May 1992,14,21,25,28,36,37,39
6th May 1992,14,17,21,25,27,39,32
2nd May 1992,4,5,6,13,22,40,36
29th April 1992,7,15,28,29,33,41,13
25th April 1992,1,24,26,28,29,32,39
22nd April 1992,5,9,22,33,34,48,35
18th April 1992,2,26,31,33,38,40,28
15th April 1992,7,12,19,22,32,48,13
11th April 1992,6,7,8,10,26,38,9
8th April 1992,29,34,35,39,40,43,30
4th April 1992,16,18,26,27,29,34,8
1st April 1992,2,5,24,25,31,35,33
28th March 1992,4,6,15,38,41,48,5
25th March 1992,12,22,29,32,33,36,27
21st March 1992,4,12,13,14,27,28,10
18th March 1992,2,12,24,26,38,42,13
14th March 1992,2,14,16,25,30,33,11
11th March 1992,1,7,28,31,40,44,46
7th March 1992,7,18,21,26,34,36,46
4th March 1992,9,12,21,22,35,44,41
29th February 1992,14,15,26,34,35,42,6
26th February 1992,16,18,27,28,29,31,4
22nd February 1992,1,12,20,25,29,43,37
19th February 1992,7,9,10,17,38,44,32
15th February 1992,9,15,22,38,41,45,33
12th February 1992,3,16,18,21,25,48,30
8th February 1992,5,16,17,18,31,38,19
5th February 1992,2,8,12,15,39,49,48
1st February 1992,26,30,32,34,40,47,28
29th January 1992,1,3,7,8,35,44,16
25th January 1992,6,12,18,19,31,47,49
22nd January 1992,12,30,40,46,47,49,22
18th January 1992,8,17,25,26,45,46,42
15th January 1992,1,11,20,23,28,32,4
11th January 1992,7,8,23,26,46,48,47
8th January 1992,7,16,20,28,32,41,24
4th January 1992,11,14,38,43,44,46,19
1st January 1992,4,7,16,21,47,48,5
