Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
28th December 1991,22,32,35,39,44,46,48
25th December 1991,2,11,25,34,46,49,47
21st December 1991,19,21,22,23,37,45,1
18th December 1991,17,19,28,35,36,42,39
14th December 1991,17,18,20,29,31,43,2
11th December 1991,19,21,32,35,38,47,29
7th December 1991,5,6,33,41,44,49,9
4th December 1991,6,12,23,30,34,43,7
30th November 1991,14,15,24,36,45,46,27
27th November 1991,1,3,4,23,36,38,15
23rd November 1991,15,38,43,45,48,49,4
20th November 1991,7,11,13,36,43,44,23
16th November 1991,4,6,20,26,31,33,11
13th November 1991,7,9,17,21,39,49,23
9th November 1991,7,13,17,19,23,39,18
6th November 1991,5,17,25,26,41,42,30
2nd November 1991,6,15,35,42,47,48,9
30th October 1991,2,3,18,30,34,40,13
26th October 1991,7,24,32,33,34,35,17
23rd October 1991,13,21,27,46,47,48,15
19th October 1991,12,25,36,37,40,42,19
16th October 1991,4,8,10,13,29,43,12
12th October 1991,17,34,39,41,43,47,21
9th October 1991,5,8,17,32,43,44,39
5th October 1991,1,18,36,40,44,47,9
2nd October 1991,31,36,40,43,48,49,33
28th September 1991,1,3,24,27,43,45,15
25th September 1991,10,17,23,29,30,43,19
21st September 1991,1,2,7,9,21,42,27
18th September 1991,4,5,27,38,43,45,12
14th September 1991,5,12,21,32,46,47,14
11th September 1991,2,9,19,24,32,41,8
7th September 1991,1,5,18,34,35,37,27
4th September 1991,1,5,6,15,20,22,13
31st August 1991,1,3,6,22,25,39,48
28th August 1991,23,27,33,46,47,49,35
24th August 1991,4,8,9,41,45,47,19
21st August 1991,9,15,17,31,33,34,10
17th August 1991,13,15,18,21,38,44,39
14th August 1991,23,25,28,30,32,49,18
10th August 1991,6,7,19,27,37,45,9
7th August 1991,2,7,11,15,42,49,19
3rd August 1991,4,23,25,36,38,43,34
31st July 1991,7,12,14,16,35,39,21
27th July 1991,9,30,31,33,37,43,27
24th July 1991,7,15,19,32,33,34,20
20th July 1991,10,11,22,28,30,33,41
17th July 1991,2,8,9,20,23,43,4
13th July 1991,3,9,24,26,33,47,4
10th July 1991,7,10,23,26,27,32,41
6th July 1991,6,10,32,37,40,48,26
3rd July 1991,6,11,15,25,40,46,12
29th June 1991,3,5,10,12,13,40,43
26th June 1991,8,10,17,26,37,41,30
22nd June 1991,20,24,35,36,40,45,43
19th June 1991,4,8,30,39,40,45,46
15th June 1991,3,9,17,24,39,43,2
12th June 1991,14,20,32,35,40,41,38
8th June 1991,11,13,26,28,36,41,34
5th June 1991,11,18,26,33,47,49,34
1st June 1991,7,8,13,25,38,44,40
29th May 1991,8,18,20,26,29,37,17
25th May 1991,2,23,28,32,33,47,44
22nd May 1991,16,26,30,33,43,49,17
18th May 1991,16,18,20,26,37,38,3
15th May 1991,5,10,27,29,35,45,36
11th May 1991,6,30,31,32,35,47,14
8th May 1991,16,25,30,38,46,48,9
4th May 1991,8,12,25,30,43,49,45
1st May 1991,10,21,35,36,42,44,40
27th April 1991,14,19,20,27,40,45,11
24th April 1991,9,18,22,26,32,36,19
20th April 1991,6,19,25,39,44,47,1
17th April 1991,10,15,22,25,27,40,30
13th April 1991,16,24,26,27,39,45,8
10th April 1991,1,3,7,23,28,42,26
6th April 1991,4,10,19,24,41,45,27
3rd April 1991,3,4,9,29,38,47,31
30th March 1991,1,8,18,19,29,33,41
27th March 1991,7,14,17,22,30,47,21
23rd March 1991,13,17,22,28,31,41,48
20th March 1991,2,5,6,8,32,46,49
16th March 1991,21,22,29,31,42,47,36
13th March 1991,4,5,15,18,25,41,11
9th March 1991,8,13,22,34,43,45,16
6th March 1991,16,17,23,28,43,49,29
2nd March 1991,6,7,12,37,45,48,28
27th February 1991,4,6,18,33,42,44,20
23rd February 1991,10,11,17,29,38,47,28
20th February 1991,4,16,18,28,31,38,46
16th February 1991,6,7,23,30,38,45,13
13th February 1991,3,5,23,24,34,47,31
9th February 1991,9,11,21,28,29,37,38
6th February 1991,12,15,17,28,38,43,33
2nd February 1991,5,10,16,20,29,42,6
30th January 1991,1,13,17,23,30,40,14
26th January 1991,8,28,30,31,32,35,26
23rd January 1991,18,23,29,38,41,44,36
19th January 1991,5,7,10,15,24,29,43
16th January 1991,17,33,34,37,41,47,12
12th January 1991,11,22,24,37,39,49,27
9th January 1991,2,5,9,17,22,38,12
5th January 1991,7,9,21,25,26,46,13
2nd January 1991,2,14,19,20,26,49,8
