Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
31st December 2014,6,7,8,29,35,45,12
27th December 2014,7,22,26,27,42,47,28
24th December 2014,1,3,21,24,31,46,30
20th December 2014,9,17,22,35,38,43,15
17th December 2014,2,5,15,20,38,39,35
13th December 2014,14,23,25,31,33,38,5
10th December 2014,1,2,7,16,27,30,18
6th December 2014,15,17,18,19,34,44,10
3rd December 2014,1,3,4,24,28,36,6
29th November 2014,9,20,24,26,43,47,45
26th November 2014,5,10,11,12,32,33,39
22nd November 2014,5,7,20,24,37,49,32
19th November 2014,5,7,20,25,36,46,24
15th November 2014,1,3,23,35,41,46,18
12th November 2014,2,17,20,41,42,44,4
8th November 2014,3,9,10,28,34,40,46
5th November 2014,23,29,31,38,40,42,44
1st November 2014,3,5,26,37,39,45,7
29th October 2014,6,25,29,34,39,44,22
25th October 2014,10,20,23,31,33,45,38
22nd October 2014,10,13,24,29,31,32,7
18th October 2014,6,30,35,37,41,43,22
15th October 2014,4,11,14,25,30,36,32
11th October 2014,3,4,6,17,30,34,36
8th October 2014,9,12,15,17,42,49,34
4th October 2014,8,13,27,35,45,49,9
1st October 2014,17,21,27,37,48,49,11
27th September 2014,2,18,22,27,44,45,49
24th September 2014,15,28,34,40,41,43,5
20th September 2014,4,10,20,23,27,45,48
17th September 2014,3,8,10,19,31,33,40
13th September 2014,2,7,17,31,39,43,40
10th September 2014,7,11,13,15,20,44,9
6th September 2014,4,6,17,28,35,46,18
3rd September 2014,5,13,15,22,45,47,27
30th August 2014,3,24,25,33,40,48,2
27th August 2014,20,21,34,42,44,45,35
23rd August 2014,10,17,24,28,31,46,15
20th August 2014,7,8,10,20,30,31,3
16th August 2014,9,18,41,42,48,49,10
13th August 2014,8,16,21,39,44,45,11
9th August 2014,2,12,30,32,37,40,39
6th August 2014,8,10,11,21,24,44,12
2nd August 2014,4,10,14,19,36,41,48
30th July 2014,13,24,25,29,43,45,42
26th July 2014,6,16,18,30,37,39,7
23rd July 2014,20,29,33,35,38,43,1
19th July 2014,18,30,38,43,46,47,36
16th July 2014,1,20,25,27,37,46,7
12th July 2014,2,3,7,14,41,42,40
9th July 2014,20,25,28,31,37,41,16
5th July 2014,11,19,30,33,38,41,24
2nd July 2014,13,20,27,28,47,49,15
28th June 2014,10,28,32,37,43,46,45
25th June 2014,1,10,24,28,39,45,43
21st June 2014,13,20,26,27,31,39,12
18th June 2014,15,21,22,28,38,45,43
14th June 2014,7,15,25,38,44,47,10
11th June 2014,4,27,33,38,41,46,14
7th June 2014,3,24,28,40,43,48,15
4th June 2014,7,11,12,13,35,41,18
31st May 2014,19,28,30,32,37,45,44
28th May 2014,13,23,28,31,34,38,8
24th May 2014,5,9,37,43,46,48,14
21st May 2014,23,34,43,44,47,49,45
17th May 2014,24,33,35,40,43,49,16
14th May 2014,2,25,27,28,31,47,20
10th May 2014,16,23,33,36,48,49,37
7th May 2014,4,7,12,20,40,49,14
3rd May 2014,1,7,11,17,27,47,34
30th April 2014,3,9,25,32,35,45,23
26th April 2014,3,11,12,19,21,29,9
23rd April 2014,22,25,35,40,45,46,38
19th April 2014,6,15,40,41,42,44,4
16th April 2014,3,16,26,40,41,49,14
12th April 2014,2,7,35,36,42,45,30
9th April 2014,8,12,20,27,32,43,17
5th April 2014,13,16,17,23,27,37,3
2nd April 2014,9,11,32,36,38,40,26
29th March 2014,15,22,25,26,42,43,9
26th March 2014,2,18,35,42,45,47,43
22nd March 2014,3,6,12,14,25,28,36
19th March 2014,13,24,28,34,45,49,21
15th March 2014,2,7,11,16,47,48,20
12th March 2014,6,12,14,17,30,49,16
8th March 2014,11,16,18,33,34,35,28
5th March 2014,7,26,31,38,46,47,12
1st March 2014,3,8,16,23,34,44,41
26th February 2014,24,25,26,30,34,39,3
22nd February 2014,9,13,19,22,33,34,20
19th February 2014,2,7,15,24,37,45,13
15th February 2014,1,8,37,39,44,45,21
12th February 2014,3,12,16,20,28,31,37
8th February 2014,2,5,16,36,41,43,25
5th February 2014,3,16,18,21,28,47,5
1st February 2014,10,14,18,27,31,48,1
29th January 2014,17,29,36,39,46,49,30
25th January 2014,6,15,22,23,41,43,37
22nd January 2014,4,16,18,25,36,40,11
18th January 2014,2,15,33,36,42,49,13
15th January 2014,2,15,25,27,38,46,33
11th January 2014,3,11,15,21,23,33,32
8th January 2014,1,12,17,22,29,44,35
4th January 2014,1,15,21,22,38,39,19
1st January 2014,4,6,7,11,12,40,15
