Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
31st December 2008,5,7,23,33,37,38,26
27th December 2008,6,10,20,23,45,47,11
24th December 2008,11,12,29,32,35,43,26
20th December 2008,4,7,8,10,47,48,6
17th December 2008,11,18,22,28,30,49,25
13th December 2008,4,15,34,36,43,47,9
10th December 2008,6,12,18,27,42,43,7
6th December 2008,4,8,29,37,40,48,45
29th November 2008,9,12,16,26,30,37,27
26th November 2008,11,33,34,42,43,48,7
22nd November 2008,9,21,28,37,44,49,19
19th November 2008,24,28,34,38,44,45,35
15th November 2008,8,9,12,16,19,21,47
12th November 2008,12,30,34,38,39,43,36
8th November 2008,2,3,19,28,36,45,39
5th November 2008,4,13,17,27,35,45,34
1st November 2008,18,25,33,40,42,49,19
29th October 2008,1,3,26,33,42,46,45
25th October 2008,4,9,25,26,41,46,40
22nd October 2008,8,9,12,20,42,45,39
18th October 2008,11,13,26,32,34,44,2
15th October 2008,7,9,15,21,38,40,13
11th October 2008,7,8,23,38,39,45,47
8th October 2008,4,13,19,32,40,45,28
4th October 2008,12,19,23,25,36,46,2
1st October 2008,2,8,22,29,34,48,47
27th September 2008,11,19,29,33,44,46,34
24th September 2008,10,27,36,40,42,43,37
20th September 2008,2,10,24,31,33,49,3
17th September 2008,7,9,17,23,27,32,22
13th September 2008,5,18,20,26,37,39,14
10th September 2008,2,15,25,31,38,49,48
6th September 2008,2,5,9,17,32,35,36
3rd September 2008,5,21,28,32,43,46,13
30th August 2008,2,26,29,36,37,45,31
27th August 2008,2,12,25,28,35,48,3
23rd August 2008,3,7,13,30,38,46,24
20th August 2008,3,6,9,27,28,36,45
16th August 2008,12,16,19,32,42,49,3
13th August 2008,1,16,28,29,39,45,23
9th August 2008,1,34,37,39,40,42,11
6th August 2008,10,18,22,26,34,38,39
2nd August 2008,2,9,26,44,47,49,34
30th July 2008,3,10,21,26,38,43,48
26th July 2008,2,6,20,23,38,45,24
23rd July 2008,7,9,25,35,40,48,1
19th July 2008,10,20,28,36,40,46,23
16th July 2008,3,10,16,17,25,39,19
12th July 2008,15,18,19,21,24,35,37
9th July 2008,2,25,28,40,45,46,34
5th July 2008,2,7,8,32,43,49,48
2nd July 2008,12,18,19,35,42,43,44
28th June 2008,4,16,20,23,28,44,32
25th June 2008,1,23,29,34,37,45,8
21st June 2008,6,7,14,16,17,27,32
18th June 2008,2,12,31,40,44,45,11
14th June 2008,6,9,14,18,42,44,36
11th June 2008,2,24,33,35,44,48,37
7th June 2008,27,29,33,36,46,48,24
4th June 2008,5,21,25,32,33,41,45
31st May 2008,2,9,11,22,34,35,26
28th May 2008,3,4,22,23,26,28,8
24th May 2008,3,16,22,39,42,49,28
21st May 2008,3,4,7,19,28,32,6
17th May 2008,5,21,35,38,47,48,45
14th May 2008,9,20,22,28,35,42,15
10th May 2008,13,15,17,26,34,48,25
7th May 2008,13,22,29,33,46,49,18
3rd May 2008,3,6,15,27,40,44,41
30th April 2008,3,6,19,23,39,43,14
26th April 2008,1,2,18,38,42,45,30
23rd April 2008,12,24,25,29,41,45,14
19th April 2008,5,27,30,32,46,49,9
16th April 2008,13,25,34,35,47,48,22
12th April 2008,1,13,23,35,38,42,22
9th April 2008,20,21,22,29,39,41,25
5th April 2008,16,18,21,27,36,43,44
2nd April 2008,2,5,8,20,21,33,11
29th March 2008,4,7,10,12,26,33,24
26th March 2008,1,6,15,27,33,40,46
22nd March 2008,5,6,10,25,36,38,7
19th March 2008,23,40,41,42,44,45,43
15th March 2008,3,9,11,19,30,39,20
12th March 2008,3,11,22,29,41,44,48
8th March 2008,11,12,13,16,46,48,28
5th March 2008,17,20,33,35,37,40,25
1st March 2008,3,7,9,28,31,43,2
27th February 2008,2,4,17,33,36,45,35
23rd February 2008,4,14,20,31,32,42,18
20th February 2008,1,6,8,38,39,40,31
16th February 2008,19,29,33,35,44,49,22
13th February 2008,14,24,26,29,41,46,22
9th February 2008,3,17,26,33,39,46,18
6th February 2008,2,4,11,30,34,47,42
2nd February 2008,7,11,13,34,46,47,9
30th January 2008,1,20,21,23,40,41,12
26th January 2008,1,5,11,37,44,47,36
23rd January 2008,6,10,13,20,32,37,34
19th January 2008,13,18,22,29,37,49,47
16th January 2008,7,15,34,39,41,49,22
12th January 2008,3,10,32,43,44,46,35
9th January 2008,5,22,25,30,45,46,41
5th January 2008,3,22,25,36,39,40,41
2nd January 2008,4,6,7,16,32,45,43
