Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
29th December 1999,6,10,15,17,28,44,49
25th December 1999,2,8,42,45,47,49,28
22nd December 1999,22,23,32,34,36,47,45
18th December 1999,7,32,35,36,47,48,15
15th December 1999,2,20,24,25,35,45,14
11th December 1999,4,9,11,16,17,44,31
8th December 1999,7,14,24,27,29,49,5
4th December 1999,3,8,9,33,39,49,35
1st December 1999,6,9,12,21,27,32,10
27th November 1999,8,11,14,34,41,42,1
24th November 1999,1,19,22,29,35,48,16
20th November 1999,2,10,14,24,31,45,23
17th November 1999,21,26,27,32,42,44,17
13th November 1999,5,14,20,22,40,43,38
10th November 1999,2,8,20,28,41,42,25
6th November 1999,15,16,22,33,34,43,11
3rd November 1999,5,26,30,34,41,44,4
30th October 1999,18,20,27,34,39,43,21
27th October 1999,2,3,22,32,33,34,5
23rd October 1999,9,19,36,40,42,48,22
20th October 1999,5,14,17,32,40,46,42
16th October 1999,15,16,23,38,41,46,40
13th October 1999,24,37,41,44,45,47,31
9th October 1999,1,2,14,25,41,44,39
6th October 1999,15,19,27,29,42,48,22
2nd October 1999,13,20,23,31,44,49,17
29th September 1999,3,4,13,34,35,36,49
25th September 1999,2,19,36,45,46,47,22
22nd September 1999,2,11,24,29,42,46,23
18th September 1999,4,7,25,30,42,47,41
15th September 1999,3,5,13,20,27,29,36
11th September 1999,2,3,6,15,39,44,33
8th September 1999,9,18,22,25,42,49,44
4th September 1999,2,12,40,42,45,47,28
1st September 1999,1,10,17,20,33,45,8
28th August 1999,17,26,36,39,44,47,4
25th August 1999,4,19,27,28,32,36,15
21st August 1999,11,14,16,21,32,39,36
18th August 1999,4,7,13,31,36,37,28
14th August 1999,6,8,12,13,18,46,3
11th August 1999,19,27,33,41,43,46,42
7th August 1999,4,10,23,25,39,42,11
4th August 1999,4,11,19,21,23,40,44
31st July 1999,5,14,26,31,38,48,6
28th July 1999,7,24,28,37,48,49,8
24th July 1999,4,7,10,25,35,38,13
21st July 1999,4,7,12,17,24,32,21
17th July 1999,8,14,39,41,42,49,13
14th July 1999,5,9,12,42,48,49,36
10th July 1999,17,23,30,36,48,49,42
7th July 1999,12,16,20,26,43,44,24
3rd July 1999,2,5,11,15,31,36,41
30th June 1999,5,20,26,34,37,46,12
26th June 1999,5,21,29,30,36,42,11
23rd June 1999,9,15,22,37,40,49,33
19th June 1999,10,29,31,32,38,47,21
16th June 1999,9,11,12,17,33,42,30
12th June 1999,10,22,37,38,41,42,43
9th June 1999,9,12,22,26,29,32,4
5th June 1999,13,23,24,37,46,47,10
2nd June 1999,3,14,22,37,46,48,43
29th May 1999,2,10,12,15,18,36,14
26th May 1999,14,16,31,34,36,44,13
22nd May 1999,2,8,12,27,37,39,11
19th May 1999,2,5,18,36,37,47,13
15th May 1999,2,14,28,30,38,45,1
12th May 1999,2,5,18,29,35,37,24
8th May 1999,3,4,9,24,46,49,8
5th May 1999,1,26,29,37,40,43,38
1st May 1999,6,12,18,20,30,45,40
28th April 1999,11,14,16,17,19,26,35
24th April 1999,2,9,16,35,41,48,29
21st April 1999,13,20,22,32,39,43,5
17th April 1999,24,28,29,31,36,40,25
14th April 1999,17,20,28,34,40,42,11
10th April 1999,4,23,33,34,36,47,16
7th April 1999,2,25,38,42,45,48,20
3rd April 1999,11,22,24,31,32,36,2
31st March 1999,3,12,18,28,31,36,14
27th March 1999,15,21,32,34,36,38,13
24th March 1999,22,26,32,38,45,46,10
20th March 1999,2,12,16,19,36,37,18
17th March 1999,7,9,12,30,41,44,24
13th March 1999,5,24,30,33,37,40,31
10th March 1999,7,9,10,13,15,34,47
6th March 1999,14,32,35,47,48,49,13
3rd March 1999,2,3,5,10,26,27,35
27th February 1999,12,24,25,29,39,42,3
24th February 1999,2,17,19,20,26,41,11
20th February 1999,9,16,27,28,32,45,43
17th February 1999,8,15,27,40,45,46,34
13th February 1999,7,12,30,35,44,49,39
10th February 1999,9,26,32,41,48,49,7
6th February 1999,6,11,20,28,33,49,47
3rd February 1999,10,17,19,23,25,35,6
30th January 1999,4,22,23,38,42,43,49
27th January 1999,12,29,38,46,48,49,7
23rd January 1999,4,5,9,17,30,41,20
20th January 1999,1,10,16,38,44,45,20
16th January 1999,1,3,5,27,30,45,4
13th January 1999,1,2,6,10,14,29,3
9th January 1999,1,3,18,23,24,35,29
6th January 1999,6,11,30,36,37,48,24
2nd January 1999,6,28,33,34,36,48,27
