Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
15th July 2017,10,12,27,29,34,48,39
12th July 2017,12,13,30,41,45,49,16
8th July 2017,20,25,26,32,34,36,9
5th July 2017,4,9,33,36,47,49,10
1st July 2017,15,16,22,33,37,41,27
28th June 2017,8,21,25,34,46,48,4
24th June 2017,3,11,16,40,43,46,36
21st June 2017,2,12,34,39,41,45,21
17th June 2017,5,6,18,21,36,44,32
14th June 2017,17,24,26,27,35,49,33
10th June 2017,3,4,21,31,33,48,26
7th June 2017,16,19,23,30,33,40,46
3rd June 2017,7,12,32,36,40,44,45
31st May 2017,1,3,8,9,12,40,2
27th May 2017,7,15,25,26,27,36,12
24th May 2017,3,5,9,22,37,46,10
20th May 2017,5,8,10,20,33,34,45
17th May 2017,9,17,36,38,41,45,39
13th May 2017,18,19,22,26,30,47,43
10th May 2017,6,7,8,21,27,38,23
6th May 2017,6,7,9,11,34,38,8
3rd May 2017,1,5,7,16,28,46,30
29th April 2017,10,23,26,40,45,46,12
26th April 2017,9,10,11,13,45,49,24
22nd April 2017,4,7,15,16,43,48,26
19th April 2017,4,11,21,24,44,49,41
15th April 2017,11,19,22,23,41,46,5
12th April 2017,7,19,37,38,41,42,11
8th April 2017,4,9,10,15,38,39,49
5th April 2017,3,10,19,30,44,48,40
1st April 2017,27,40,41,42,45,46,20
29th March 2017,3,12,16,17,22,30,48
25th March 2017,5,9,14,24,30,35,21
22nd March 2017,2,3,5,27,40,46,28
18th March 2017,6,16,29,33,41,48,23
15th March 2017,16,17,21,34,37,46,3
11th March 2017,6,10,11,23,42,47,44
8th March 2017,10,17,24,28,35,36,40
4th March 2017,5,16,24,31,38,47,42
1st March 2017,6,14,17,18,31,43,38
25th February 2017,21,23,31,33,38,42,22
22nd February 2017,9,21,25,26,31,41,11
18th February 2017,11,13,14,20,43,49,25
15th February 2017,1,16,17,24,41,46,22
11th February 2017,10,11,21,28,38,44,17
8th February 2017,3,4,8,12,13,46,26
4th February 2017,2,8,9,13,41,44,27
1st February 2017,5,9,11,36,42,43,41
28th January 2017,9,10,23,28,41,47,17
25th January 2017,2,14,19,28,42,44,34
21st January 2017,8,22,23,36,40,42,5
18th January 2017,10,17,20,24,33,35,28
14th January 2017,1,6,19,30,32,44,33
11th January 2017,24,34,36,38,42,43,30
7th January 2017,1,10,18,19,23,27,48
4th January 2017,2,11,13,23,35,48,30
